Time,TinH2,TinAIR,ToutH2,TinWAT,I,PoutAIR,HrAIRFC,ToutAIR,Utot
0.2013530554,24.624,43.193,37.416,53.5292,69.978,1264.9922,52.4888,50.9424,3.3304
0.251691481333333,24.6361666666667,43.2168333333333,37.5016666666667,53.558,69.9796666666667,1264.94483333333,52.4171666666667,50.9826666666667,3.33033333333333
0.302029999857143,24.6461428571429,43.207,37.5422857142857,53.5777142857143,69.9801428571429,1265.01671428571,52.3311428571429,51.0148571428571,3.33057142857143
0.352368472125,24.652375,43.195,37.52525,53.58875,69.9835,1264.85,52.266625,51.0205,3.33075
0.402707037,24.6528888888889,43.1967777777778,37.5572222222222,53.5418888888889,69.9823333333333,1264.90377777778,52.2527777777778,51.037,3.33111111111111
0.4530456666,24.6543,43.2032,37.5656,53.5577,69.9819,1265.1232,52.2139,51.0509,3.3313
0.5537227777,24.6688,43.2111,37.6628,53.6611,69.9838,1265.4362,51.9743,51.2007,3.3322
0.6543999999,24.6766,43.2175,37.691,53.6653,69.9843,1265.237,51.9527,51.1904,3.3323
0.7550772499,24.6825,43.2285,37.7067,53.6637,69.9863,1265.5045,51.9476,51.1835,3.3323
0.8557544166,24.6885,43.2151,37.7132,53.6471,69.9878,1265.6582,51.9799,51.1763,3.3324
0.9564315555,24.6949,43.1981,37.698,53.6322,69.9868,1265.607,52.0118,51.1652,3.3321
1.0571088611,24.7013,43.1849,37.6633,53.6369,69.9863,1265.368,51.9915,51.1691,3.3324
1.1577859722,24.7093,43.2037,37.6389,53.6408,69.9877,1265.22,52.0182,51.1703,3.3321
1.2584631111,24.7175,43.2222,37.6657,53.651,69.9872,1265.3908,52.0324,51.1899,3.3321
1.3591403055,24.7296,43.2156,37.6313,53.7086,69.9892,1265.6639,52.014,51.1952,3.3319
1.4598174166,24.7421,43.1933,37.6711,53.7075,69.9907,1265.5671,52.0251,51.1927,3.3318
1.5604944722,24.7555,43.1796,37.6459,53.7065,69.9878,1265.5272,52.0337,51.2055,3.3315
1.6611715833,24.7698,43.1788,37.6462,53.7039,69.9888,1265.6467,52.0483,51.2,3.3311
1.7618487777,24.7827,43.1876,37.591,53.7049,69.9878,1265.5272,52.0586,51.2063,3.3311
1.8625258333,24.7966,43.2059,37.5736,53.7078,69.9878,1265.4532,52.0543,51.203,3.3307
1.9632030278,24.8076,43.2042,37.5956,53.7153,69.9873,1265.8231,52.0028,51.214,3.3307
2.0638800555,24.8188,43.1899,37.5981,53.7137,69.9873,1266.4149,52.0103,51.2052,3.3306
