Time,Utot,TinH2,TinAIR,ToutH2,TinWAT,I,PoutAIR,HrAIRFC,ToutAIR
0.201353056,3.3304,24.624,43.193,37.416,53.5292,69.978,1264.9922,52.4888,50.9424
0.251691481,3.330333333,24.63616667,43.21683333,37.50166667,53.558,69.97966667,1264.944833,52.41716667,50.98266667
0.30203,3.330571429,24.64614286,43.207,37.54228571,53.57771429,69.98014286,1265.016714,52.33114286,51.01485714
0.352368472,3.33075,24.652375,43.195,37.52525,53.58875,69.9835,1264.85,52.266625,51.0205
0.402707037,3.331111111,24.65288889,43.19677778,37.55722222,53.54188889,69.98233333,1264.903778,52.25277778,51.037
0.453045667,3.3313,24.6543,43.2032,37.5656,53.5577,69.9819,1265.1232,52.2139,51.0509
0.553722778,3.3322,24.6688,43.2111,37.6628,53.6611,69.9838,1265.4362,51.9743,51.2007
0.6544,3.3323,24.6766,43.2175,37.691,53.6653,69.9843,1265.237,51.9527,51.1904
0.75507725,3.3323,24.6825,43.2285,37.7067,53.6637,69.9863,1265.5045,51.9476,51.1835
0.855754417,3.3324,24.6885,43.2151,37.7132,53.6471,69.9878,1265.6582,51.9799,51.1763
0.956431556,3.3321,24.6949,43.1981,37.698,53.6322,69.9868,1265.607,52.0118,51.1652
1.057108861,3.3324,24.7013,43.1849,37.6633,53.6369,69.9863,1265.368,51.9915,51.1691
1.157785972,3.3321,24.7093,43.2037,37.6389,53.6408,69.9877,1265.22,52.0182,51.1703
1.258463111,3.3321,24.7175,43.2222,37.6657,53.651,69.9872,1265.3908,52.0324,51.1899
1.359140306,3.3319,24.7296,43.2156,37.6313,53.7086,69.9892,1265.6639,52.014,51.1952
1.459817417,3.3318,24.7421,43.1933,37.6711,53.7075,69.9907,1265.5671,52.0251,51.1927
1.560494472,3.3315,24.7555,43.1796,37.6459,53.7065,69.9878,1265.5272,52.0337,51.2055
1.661171583,3.3311,24.7698,43.1788,37.6462,53.7039,69.9888,1265.6467,52.0483,51.2
1.761848778,3.3311,24.7827,43.1876,37.591,53.7049,69.9878,1265.5272,52.0586,51.2063
1.862525833,3.3307,24.7966,43.2059,37.5736,53.7078,69.9878,1265.4532,52.0543,51.203
