Time,TinH2,TinAIR,ToutH2,TinWAT,I,PoutAIR,HrAIRFC,ToutAIR,Utot
505.34435684,27.5134,46.728,39.6696,53.5112,69.927,1268.1108,52.5438,50.9492,3.2312
505.394784316667,27.5988333333333,46.7496666666667,39.6746666666667,53.5565,69.9168333333333,1267.9705,52.4123333333333,50.9723333333333,3.2315
505.445186314286,27.6725714285714,46.7645714285714,39.67,53.5765714285714,69.9101428571429,1267.919,52.3787142857143,50.9548571428571,3.23185714285714
505.4955727125,27.736,46.782875,39.663625,53.595375,69.905125,1267.90175,52.312625,50.960375,3.232125
505.545948177778,27.7932222222222,46.7894444444444,39.6413333333333,53.6013333333333,69.9007777777778,1267.93255555556,52.2687777777778,50.9615555555556,3.23222222222222
505.5963163,27.8428,46.781,39.6564,53.6139,69.8968,1267.8093,52.2261,50.955,3.232
505.69726022,27.974,46.7727,39.5945,53.6759,69.8768,1267.337,52.0551,51.0005,3.2322
505.79793733,28.0764,46.7708,39.5979,53.697,69.87,1267.4053,51.979,50.99,3.2324
505.89861372,28.1614,46.7867,39.6274,53.6861,69.8681,1267.485,51.981,50.9793,3.2327
505.99929097,28.2348,46.8064,39.6237,53.6806,69.8677,1267.4054,51.8939,50.9978,3.2325
506.09996813,28.2994,46.8216,39.6224,53.6699,69.8658,1267.1664,51.912,50.974,3.2323
506.20064504,28.3592,46.8177,39.5944,53.657,69.8658,1267.2005,51.9503,50.9731,3.2323
506.30132202,28.416,46.8248,39.576,53.655,69.8649,1267.2916,51.9445,50.9969,3.2322
506.40199896,28.4709,46.8335,39.543,53.6186,69.8645,1267.3769,52.0476,50.9991,3.2318
506.50267613,28.523,46.8444,39.54,53.6139,69.864,1267.3428,52.0783,51.008,3.2315
506.60335305,28.5771,46.867,39.5285,53.5804,69.8645,1267.4395,52.1433,51.0252,3.2315
506.70403005,28.6278,46.8769,39.4927,53.5801,69.863,1267.0981,52.136,51.0361,3.2312
506.80470772,28.6801,46.9047,39.4803,53.5805,69.863,1266.694,52.157,51.0385,3.2313
506.90538478,28.7261,46.9272,39.4948,53.5786,69.8625,1266.1533,52.1452,51.0502,3.2311
507.00606172,28.7653,46.9494,39.487,53.5952,69.862,1265.8004,52.1659,51.0511,3.2311
507.10673867,28.7986,46.9534,39.4612,53.593,69.8625,1265.6638,52.1543,51.0782,3.2311
507.20741581,28.8244,46.9764,39.4516,53.5913,69.862,1265.5045,52.1501,51.0709,3.2308
507.30809297,28.8446,46.9817,39.4551,53.5936,69.8625,1265.4305,52.1255,51.0714,3.2308
507.40876992,28.8605,46.9739,39.4799,53.6269,69.8625,1265.3338,52.0211,51.0779,3.2309
507.50944684,28.8698,46.985,39.4848,53.6395,69.863,1265.3622,51.9807,51.0831,3.2311
507.61012395,28.8727,46.9943,39.5396,53.6671,69.863,1265.4248,51.9326,51.0865,3.2315
507.71080109,28.8749,47.0073,39.5331,53.6731,69.8645,1265.6581,51.9354,51.0825,3.2318
507.81147748,28.8717,47.0058,39.5605,53.6745,69.8645,1266.2784,51.953,51.0878,3.2318
507.91215461,28.8676,47.0032,39.5207,53.6865,69.8645,1266.6256,51.979,51.0844,3.2317
508.01283158,28.8604,46.996,39.5056,53.6919,69.8645,1266.9272,51.982,51.0836,3.2317
508.11350875,28.8497,46.9775,39.4845,53.7086,69.864,1267.0865,51.9817,51.0854,3.2319
508.21418578,28.8378,46.947,39.4791,53.708,69.864,1267.1434,51.9874,51.0862,3.2319
508.3148627,28.8236,46.9336,39.467,53.702,69.864,1267.1263,52.0274,51.0772,3.2319
508.41553964,28.8053,46.918,39.4325,53.6962,69.864,1267.1149,52.0706,51.0714,3.2321
508.51621675,28.7868,46.9047,39.4261,53.699,69.864,1267.0694,52.0832,51.0692,3.2322
508.61689403,28.766,46.8873,39.3197,53.7025,69.8644,1267.1206,52.095,51.0691,3.232
508.71757114,28.7444,46.8668,39.3281,53.704,69.8644,1267.4962,52.0963,51.0741,3.2319
508.81824822,28.7253,46.8655,39.2944,53.6984,69.8644,1267.3539,52.1247,51.0756,3.2316
508.91892522,28.7094,46.8597,39.2681,53.6742,69.8649,1267.5189,52.2165,51.0544,3.2315
509.0196025,28.6923,46.8502,39.2491,53.6321,69.8649,1267.6441,52.2958,51.0539,3.2314
509.12027947,28.6791,46.8526,39.2623,53.6233,69.8658,1267.5132,52.3016,51.0517,3.231
509.22095658,28.6678,46.8387,39.2624,53.6201,69.8663,1267.405,52.3102,51.0571,3.231
509.32163375,28.6597,46.8212,39.3265,53.6232,69.8658,1267.1774,52.3896,51.0735,3.2306
509.42231084,28.6572,46.8087,39.3141,53.6299,69.8658,1266.8417,52.3768,51.0849,3.2301
